short_name,long_name
CPAQ-P,Chronic Pain Acceptance Questionnaire - Parent
CPAQ-C,Chronic Pain Acceptance Questionnaire - Clinician
STAI-CH,State-Trait Anxiety Inventory for Children
TAI,Test Anxiety Inventory
STPI,State-Trait Personality Inventory
STAXI-2™,State-Trait Anger Expression Inventory–2™
AHI-5 Helplessness,Arthritis Helplessness Index – 5 items
AHI-7 Internality,Arthritis Helplessness Index – 7 items
STAXI-2™ C/A,State-Trait Anger Expression Inventory-2™ Child and Adolescent
EASi-QoL,Evaluation of Ankylosing Spondylitis Quality of Life
EATA,Ergonomic Assessment Tool for Arthritis
PROMIS Pediatric Bank v1.0 - Psychological Stress Experiences,Patient-Reported Outcomes ...
PROMIS Pediatric Short Form v1.0 – Psychological Stress Experiences 8a,Patient-Reported ...
PROMIS Pediatric Short Form v1.0 – Psychological Stress Experiences 4a,Patient-Reported ...
PROMIS Parent Proxy Bank v1.0 – Psychological Stress Experiences,Patient-Reported Outcom...
PROMIS Parent Proxy Short Form v1.0 - Psychological Stress Experiences 8a,Patient-Report...
PROMIS Parent Proxy Short Form v1.0 – Psychological Stress Experiences 4a,Patient-Report...
PROMIS Pediatric Bank v1.0 – Physical Stress Experiences,Patient-Reported Outcomes Measu...
PROMIS Pediatric Short Form v1.0 - Physical Stress Experiences 8a,Patient-Reported Outco...
PROMIS Pediatric Short Form v1.0 – Physical Stress Experiences 4a,Patient-Reported Outco...
PROMIS Parent Proxy Short Form v1.0 – Physical Stress Experiences 8a,Patient-Reported Ou...
PROMIS Parent Proxy Short Form v1.0 – Physical Stress Experiences 4a,Patient-Reported Ou...
FFS,Fibrofatigue Scale
PROMIS Parent Proxy Bank v1.0 - Physical Stress Experiences,Patient-Reported Outcomes Me...
FHAQ,Fibromyalgia Health Assessment Questionnaire
FLARE,Flare Assessment in Rheumatoid Arthritis
Function and Symptom Questionnaire,Function and Symptom Questionnaire
ABILHAND – Neuromuscular Disorders,ABILHAND – Neuromuscular Disorders
ABILHAND - Rheumatoid arthritis,ABILHAND - Rheumatoid arthritis
ABILHAND - Chronic Stroke,ABILHAND - Chronic Stroke
ABILHAND - Systemic Sclerosis,ABILHAND - Systemic Sclerosis
ABILHAND - Hand surgery,ABILHAND - Hand surgery
EEsAI,Eosinophilic Esophagitis Activity Index
FAAQ,Food Craving Acceptance and Action questionnaire
PROM for paediatric CFS/ME,Patient Reported Outcome Measure for paediatric with Chronic ...
FOQSD,Functional Outcomes Questionnaire for Spinal Disorders
HAQ-S,Health Assessment Questionnaire for the Spondyloarthropaties
HAQ II,Health Assessment Questionnaire II
HPQ,World Health Organization Health and Work Performance Questionnaire
HQWP,Health-related Quality-of-life and Work Productivity questionnaire
HWQ,Health and Work Questionnaire
MAP - Swedish,Myositis Activity Profile - Swedish version
PROMIS Short Form v1.0 - Fatigue 7a,Patient-Reported Outcomes Measurement Information Sy...
MVAS,Million Visual Analogue Score
iHOT-12,Short version of the International Hip Outcome Tool
NVSA©,Nausea/Vomiting Symptom Assessment
PAMSI,Patient Assessment of Multiple Sclerosis Impact
KQoL-26,Knee Quality of Life
PFDI-46,Pelvic Floor Distress Inventory-46
LPDS,Leuven Postprandial Distress Scale
PF-IQOLS,Pulmonary Fibrosis Impact on Quality of Life Scale
PFIQ,Pelvic Floor Impact Questionnaire
LIDAS,Limitations in Daily Activities Scale
LEFS,Lower Extremity Functional Scale
PFIQ-7,Pelvic Floor Impact Questionnaire-7
LLTQ,Lower-Limb Tasks Questionnaire
PFDI-20,Pelvic Floor Distress Inventory-20
MSQ,Medication Satisfaction Questionnaire
PEmb-QoL,Pulmonary Embolism Quality of Life Questionnaire
QoLHYPO ©,QoLHYPO ©
QWLQ-CS,Quality of Working Life Questionnaire for Cancer Survivors
MHQ,Michigan Hand Outcomes Questionnaire
M-ISI,Michigan Incontinence Symptom Index
HeRQoLED-S,Health-Related Quality of Life for Eating Disorders questionnaire - Short for...
RHS,Rotterdam Handicap Scale
saSPI,Self-Assessed Simplified Psoriasis Index
proSPI,Professional Simplified Psoriasis Index
SAID,"Sexual Arousal, Interest, and Drive Scale"
NeckPix©,NeckPix©
CARATKids,Control of Allergic Rhinitis and Asthma Test for children
HED,Hypogonadism Energy Diary
PDI,Pain Disability Index
ShortMAC,Shortened (12-item) version of the Western Ontario and McMaster Universities Ar...
SANE,Single Assessment Numeric Evaluation
EORTC QLQ-C15-PAL,EORTC Quality of Life Questionnaire - PALliative Cancer Care
PDQ,Psychosexual Daily Questionnaire
SQOR-V,Specific Quality of Life &amp; Outcome Response - Venous
PSEQ,Pain Self-Efficacy Questionnaire
CTS-6,6-item Carpal Tunnel Symptoms Scale
U-FIS,Unidimensional Fatigue Impact Scale
UNC DEMS,University of North Carolina Dry Eye Management Scale
SGRQ-I,St George's Respiratory Questionnaire for Idiopathic Pulmonary Fibrosis
ASES,American Shoulder and Elbow Surgeons Standardized Shoulder Assessment Form
AOS,Ankle Osteoarthritis Scale
ABCD,Assessment of Body Change and Distress questionnaire
U-AIM,Urticaria Activity and Impact Measure
UPDD,Urticaria Patient Daily Diary
VFQ-UI,Visual Function Questionnaire - Utility Index
CCS,Cocaine Craving Scale
COWS,Clinical Opiate Withdrawal Scale
SDS,Severity of Dependence Scale
SLAQ,Systemic Lupus Activity Questionnaire
ABLE,Accidental Bowel Leakage Evaluation
AECT,Angioedema Control Test
SQDES,Short Questionnaire for Dry Eye Syndrome
CVS-Q,Computer Vision Syndrome Questionnaire
DEQS,Dry Eye-Related Quality-of-Life Score
OCDER,Ora Calibra® Conjunctival Redness Scale
CQR5,Compliance-Questionnaire-Rheumatology - 5-item version
AHI,Arthritis Helplessness Index
mBCTQ,Modified Boston Carpal Tunnel Questionnaire
SLE-FAMILY,Systemic Lupus Erythematosus Questionnaire on Family Role Functioning
SLENQ,Systemic Lupus Erythematosus Needs Questionnaire
VASFIQ,Visual Analogue Scale of the Fibromyalgia Impact Questionnaire
KOOS-PF,Knee injury and Osteoarthritis Outcome Score-Patellofemoral subscale
WDI,Waddell Disability Index
TSQM-9,Treatment Satisfaction Questionnaire for Medication - 9 items
TSQM II,Treatment Satisfaction Questionnaire for Medication - version II
Work Ability Index,WAI
DHI,Dysphagia Handicap Index
CLDEQ-8,Contact Lens Dry Eye Questionnaire - 8 items
WHI,Work and Health Interview
EORTC QLQ-HDC29,EORTC Quality of Life Questionnaire - High-Dose Chemotherapy
APFQ,Australian Pelvic Floor Questionnaire
Work Style Assessment,Work Style Assessment
WSF,Workstyle Short Form
CSOQ,Cervical Spine Outcomes Questionnaire
CIQ,Community Integration Questionnaire
WPI,Work and Productivity Index
WPSI,Work Productivity Short Inventory (Wellness Inventory)
CAIT,Cumberland Ankle Instability Tool
DHEQ,Dentine Hypersensitivity Experience Questionnaire
DIP,Disability and Impact Profile
CEAP classification,Clinical Etiological Anatomical Pathophysiological Classification
ESS-HHT,Epistaxis Severity Score for Hereditary Hemorrhagic Telangiectasia
VDS,Venous Disability Score
EQS,Erection Quality Scale
SA-EASI,Self-Administered Eczema Area and Severity Index
FRI,Functional Rating Index
GFS,General Function Score
VS,Villalta scale
WRFQ-5 2.0,Work Role Functioning Questionnaire-5 2.0
BHVI scale (CCLRU),Brien Holden Vision Institute scale (Cornea and Contact Lens Research...
WRFQ-10 2.0,Work Role Functioning Questionnaire-10 2.0
COMIAD,Core Outcome Measures Index - Anxiety and Depression
mHHS,modified Harris Hip Score
DKQ-15,Diabetes Knowledge Questionnaire - 15 items
VCM1,Vision-Related Quality of Life Core Measure
VQOL,Vision-related Quality of Life Questionnaire
mVCM1,modified Vision-Related Quality of Life Core Measure
NBQ,Neck Bournemouth Questionnaire
PSFS,Patient-Specific Functional Scale
PSFS 2.0,Patient Specific Functional Scale 2.0
GIS,Gout Impact Scale
FFbH-R,Hannover Functional Ability Questionnaire
PGQ,Pelvic Girdle Questionnaire
JOABPEQ,Japanese Orthopedic Association Back Pain Evaluation Questionnaire
KOS-ADLS,Knee Outcome Survey-Activities of Daily Living Scale
Personalized Dyspnea Intensity Goal,Personalized Dyspnea Intensity Goal
ProFitMap-neck,Proﬁle Fitness Mapping neck questionnaire
PRAFAB-Q-5,"Protection, Amount of urine loss, Frequency of UI, Adjustment, and Body or se..."
QOL-RIQ,Quality-of-Life for Respiratory Illness Questionnaire
RIQ-MON10,Respiratory Illness Questionnaire-monitoring 10
KS,Knee Society Clinical Scoring System
KSS,Knee Society Score
DRHS,Dyspepsia-Related Health Scale
KPS or AKPS,Kujala Patellofemoral Scale or Anterior Knee Pain Scale
LKS,Lysholm Knee Score
QoR-40,Quality of Recovery-40
ADSS,Atopic Dermatitis Sleep Scale
SP-NRS,Skin Pain Numerical Rating Scale
QoR-15,Quality of Recovery-15
QoR Score,Quality of Recovery Score
mNIS+7,modified Neuropathy Impairment Score +7
NIS+7,Neuropathy Impairment Score+7
ESS-ALT,Epworth Sleepiness Scale-Alternative Version
IPQS - Relatives,Illness Perception Questionnaire for Schizophrenia - Relatives
PSYCHLOPS Teen,Psychological Outcome Profiles for Teenagers
SIIS,Scratch Intensity and Impact Scale
SRISS,Sleep-Related Itch and Scratch Scale
PostopQRS™,Post-operative Quality Recovery Scale
MSBQ,Maine Seattle Back Questionnaire
DDSI,Dual Diagnosis Screening Instrument
Pediatric BSFS,Pediatric Bristol Stool Form Scale
ODS-S,Renzi Obstructed Defecation Syndrome Score
rCSHQ-RA,Revised Cedars-Sinai Health-Related Quality of Life for Rheumatoid Arthritis In...
AKUSSI,Alkaptonuria Severity Score Index
OA-QI v2,OsteoArthritis Quality Indicator version 2
RMI,Rivermead Mobility Index
MRMI,Modified Rivermead Mobility Index
mCKRS,modified Cincinnati Knee Rating System
KAP - City Residents,"City Residents' Knowledge, Attitude and Practice for the Prevention..."
PEIS,Pandemic Emotional Impact Scale
SATIS-Stroke,SATIS-Stroke scale
CDAS,COVID-19 Anxiety Scale
PEF-COVID19,Physical exercise level before and during social isolation
SBI,Sciatica Bothersomeness Index
Lifestyle related behaviour questionnaire,Lifestyle related behaviour questionnaire
SFI,Sciatica Frequency Index
SED,Sexual Events Diary
EORTC QLQ-IN-PATSAT32,EORTC Quality Of Life Questionnaire - SATisfaction with IN-PATient...
EORTC QLQ-PATSAT-C33,EORTC Quality Of Life Questionnaire - Satisfaction with Cancer Care...
EORTC QLQ-FA12,EORTC Quality Of Life Questionnaire FA12
SRS-22,Scoliosis Research Society-22 patient questionnaire
Sleep Diary,Sleep Diary
SRS-7,Scoliosis Research Society-7
SEFAS,Self-reported Foot and Ankle Score
Sex-Q,Sexual Experience Questionnaire
Condensed MCMDM-1VWD Bleeding,Condensed Molecular and Clinical Markers for the Diagnosis...
Mini-OQLQ,Mini Osteoporosis Quality of Life Questionnaire
OQLQ,Osteoporosis Quality of Life Questionnaire
SUS,System Usability Scale Questionnaire
PDAQ-15,Penn Parkinson's Daily Activities Questionnaire-15
HidroQOL©,Hyperhidrosis Quality of Life Index ©
PozQoL,PozQoL Scale
MPT,Maximum Phonation Time
ICS,Intelligibility in Context Scale
MB-CDI-WS,MacArthur-Bates Communication Development Inventories-Words and Sentences
BIT,Beginner's Intelligibility Test
SIT,Speech Intelligibility Test
MacArthur-CDI-Infant SF,MacArthur-Communication Development Inventories-Infant Short For...
SSI-4,Stuttering Severity Instrument - Fourth Edition
MacArthur-CDI-Toddler SF,MacArthur-Communication Development Inventories-Toddler Short F...
CDI-III,MacArthur Communicative Development Inventory -Level III
JVB,Jan van Breemen functional scale
TOCS,Test of Childhood Stuttering
PLS-5,Preschool Language Scale-Fifth Edition
SILC,Symptoms in Lung Cancer
DMD CGI-C,Duchenne Muscular Dystrophy Clinical Global Impression of Change
GFTA-3,Goldman-Fristoe Test of Articulation-3
TELD-4,Test of Early Language Development - 4
FCP-R,Functional Communication Profile-Revised
SPIM,Spinal Pain Independence Measure
PIS,Physical Impairment Scale
GTQ,Gothenburg Trismus Questionnaire
NAIM,Nasal Airflow Inducing Maneuver
SOIT,Scandinavian Odor-Identification Test
QOTA,"Questionnaire on Odor, Taste and Appetite"
CBFS,Cortical Basal ganglia Functional Scale
FYPA,Facilitators to Youth Physical Activity
BYPA,Barriers to Youth Physical Activity
PAS/PAS-II,Patient Activity Scale
GAS for WD,Global Assessment Scale for Wilson's Disease
GIDS-PD,Gastrointestinal Dysfunction Scale for Parkinson's Disease
THYCA-QoL,THYroid CANcer-Quality of Life
TETRAS,The Essential Tremor Rating Assessment Scale
FD-PRO,Fabry Disease PRO
RQS,Quality of Life Questionnaire in Gastroesophageal Reflux Short Form
Back Pain Interference Scale,Back Pain Interference Scale
MDS-NMS,MDS Non-Motor Rating Scale
LFS,Allergan Lip Fullness Scale
POLSS,Allergan Perioral Lines Severity Scale
POLM,Allergan Perioral Lines at Maximal Contraction scale
OCSS,Allergan Oral Commissures Severity Scale
FRI,Functional Recovery Index
MBRS,Modified Bradykinesia Rating Scale
MFVDS,Midface Volume Deficit Scale
SRS,Surgical Recovery Score
SPS,SAD PERSONS scale
BAVQ-R,Beliefs About Voices Questionnaire-Revised
MSPS,Modified SAD Person's Scale
NLFSS,Nasolabial Fold Severity Scale
HIDRAdisk,HIDRAdisk
AIHS,Allergan Infraorbital Hollows Scale
A-SPS,Adapted-SAD PERSONS Scale for Children
HSQoL-24,Hidradenitis Suppurativa-Quality of Life Tool-24
SRI,Surgical Recovery Index
BSRS-5R,5-item Brief Symptom Rating Scale-Revised
TS-VAS,Treatment Satisfaction-Visual Analogue Scale
BSRS-5,Brief Symptom Rating Scale-5
Voiding Diary,Voiding Diary
BSRS-50,Brief Symptom Rating Scale-50
NoMoFA,The Non-Motor Fluctuation Assessment Questionnaire
PARS,Postanaesthesia Recovery Score
PKAN-DRS,PKAN Disease Rating Scale
PSP-CDS 7x3,Progressive Supranuclear Palsy Clinical Deficits Scale 7x3
PMD,Rating Scale for Psychogenic Movement Disorders
PSP-CDS 7x2,Progressive Supranuclear Palsy Clinical Deficits Scale 7x2
PSP-CDS 6x2,Progressive Supranuclear Palsy Clinical Deficits Scale 6x2
RDRS,Rush Dyskinesia Rating Scale
Obeso Dyskinesia Scale,Obeso Dyskinesia Scale
Modified Rush Video-Based Tic Rating Scale,Modified Rush Video-Based Tic Rating Scale
SCOPA-DC,Scales for Outcomes in Parkinson's Disease – Diary Card
revised SCOPA-DC,revised SCales for Outcomes in PArkinson's disease-Diary Card
COVID-19 risk score,COVID-19 risk score
CELF-5 Metalinguistics,Clinical Evaluation of Language Fundamentals - Fifth Edition - Me...
CELF-5 Screening Test,Clinical Evaluation of Language Fundamentals - Fifth Edition - Scr...
CELF-5 UK,Clinical Evaluation of Language Fundamentals - Fifth Edition - English for the...
HOME-CoV,Hospitalization or Outpatient Management of Patients With SARS-CoV-2 Infection
CELF-5 A&amp;NZ,Clinical Evaluation of Language Fundamentals - Fifth Edition - English for A...
CELF-5 Germany,Clinical Evaluation of Language Fundamentals - Fifth Edition - German for...
CELF-5 Spain,Clinical Evaluation of Language Fundamentals - Fifth Edition - Spanish for ...
CELF 5 France,Clinical Evaluation of Language Fundamentals - Fifth Edition - French for ...
CELF-5 NL,Clinical Evaluation of Language Fundamentals - Fifth Edition - Dutch for the N...
CELF-4 US Spanish,Clinical Evaluation of Language Fundamentals - Fourth Edition - Spanis...
SCQ,Seekins Secondary Conditions Questionnaire
SCI-SCS,Spinal Cord Injury Secondary Conditions Scale
Milano Policlinico ONCOVID-ICU score,Milano Policlinico ONCOVID-ICU score
CELF Preschool-3 - NL,Clinical Evaluation of Language Fundamentals - Preschool - Third E...
CELF-Preschool 3 - AUS/New Zealand,Clinical Evaluation of Language Fundamentals - Presch...
SPNSQ,Subjective Peripheral Neuropathy Screen Questionnaire
COVID-19 Stressors Scale,COVID-19 Stressors Scale
PRAS-ASD,Parent-Rated Anxiety Scale for Autism Spectrum Disorder
PAINAD,Pain Assessment in Advanced Dementia
FS,Flexibility Scale
PACI,Pain Assessment in Communicatively Impaired
CYBOCS - ASD,Children's Yale-Brown Obsessive Compulsive Scale in Autism Spectrum Disorde...
SOADAS,Satisfaction with Oral Anti-Diabetic Agents Scale
PSF,Psychiatric Symptom Frequency Scale
CGSQ,Caregiver Strain Questionnaire
QUALIDEM,QUALIDEM
CGSQ-SF7,Caregiver Strain Questionnaire - Short Form
CGSQ-SF11,Caregiver Strain Questionnaire - Short Form 11-item
PRSQ,Pharyngeal Reflux Questionnaire
Visual Function and Quality of Life Questionnaire,Visual Function and Quality of Life Qu...
QUALIDEM-8,QUALIDEM-8
Andersch and Milsom Scale,Andersch and Milsom Scale
PSWQ,Penn State Worry Questionnaire
APTS,Ankle Plantar Flexors Tone Scale
SAFUCA,Satisfaction with oral anticoagulants in patients with non-valvular atrial fibril...
PPSS (Mother's version),Parents' Postnatal Sense of Security (Mother's version)
NIH Toolbox - Paternal Relationship FF Ages 8-17 v2.0,NIH Toolbox - Paternal Relationshi...
PPSS (Father's version),Parents' Postnatal Sense of Security (Father's version)
PCPQ,Pediatric Community Participation Questionnaire
OERS,Observed Emotion Rating Scale
ALIP,Adolescent Leisure Interest Profile
AER,Apparent Emotion Rating Scale
ACA,Assessment Checklist for Adolescents
PreViAs,Preverbal Visual Assessment
ACC,Assessment Checklist for Children
BAC-C,Brief Assessment Checklist for Children
SOS,Snore Outcomes Survey
ZRADSQ,Zheng-Related Atopic Dermatitis Symptom Questionnaire
CHEQ,CHOICE Health Experience Questionnaire
BAC-A,Brief Assessment Checklist for Adolescents
VWICS-P,Varricchio-Wright Impact of Cancer Scale-Parents
SCS,Self-Compassion Scale
APCP,Assessment of Preschool Children's Participation
SISS,Sexual Interaction System Scale
APS,Assistance to Participate Scale
FMA-UE,Fugl-Meyer Assessment - Upper Extremity
